address,loc_Latitude,loc_Longitude
8481 Foster Drive,42.681621,-79.577835
2163 Sarah Inlet Suite 927,43.342934,-81.936887
25623 Scott Extensions,43.082667,-79.441943
190 Courtney Brook,42.074769,-80.3317
0549 Susan Fields Suite 973,42.762376,-80.968839
92252 Diane Flat,43.801198,-79.230558
8707 Doyle Drive Apt. 256,42.378597,-80.848284
09876 Tyler Vista,43.299186,-79.088322
176 Larson View Suite 094,42.792292,-79.068859
74829 Clarke Park,43.858905,-81.773884
62545 Alexis Underpass Apt. 452,43.082667,-79.441943
198 Dana Junctions,42.550438,-79.706379
254 Natalie Harbor,42.660316,-81.559373
05179 Lisa Drive,42.719299,-81.811015
08186 Briggs Path Apt. 893,42.634322,-79.433891
88469 Margaret Shore,43.589186,-80.147774
161 Berry Falls Suite 287,42.959716,-79.102158
419 Davis Centers Suite 321,43.342934,-81.936887
6561 James Junctions Suite 693,43.903584,-79.778909
31396 Lauren Lodge,42.964411,-79.739364
056 Sharon Lake,42.88503,-80.725574
597 Matthews Dam Apt. 675,43.801198,-79.230558
0324 Claudia Tunnel Apt. 292,42.92488,-81.201384
764 Moyer Groves,43.858905,-81.773884
9486 Nancy Keys,43.166458,-79.373991
4876 Williams Harbor Apt. 516,42.816136,-81.618908
55401 Stanley Plaza Suite 740,42.868551,-81.819438
0976 Conway Route Apt. 897,42.959716,-79.102158
6685 Farley Locks,42.550438,-79.706379
2314 Anderson Coves Suite 102,43.755717,-81.353865
186 Debra Village Suite 696,42.792292,-79.068859
47568 Megan Village Apt. 490,42.816136,-81.618908
9968 Estes Inlet Suite 797,42.762376,-80.968839
4777 Lisa Flat,42.792292,-79.068859
248 Aaron Wall Suite 624,42.572854,-81.183293
456 Carrie Dale Apt. 861,42.816136,-81.618908
22777 Rush Key,42.816136,-81.618908
288 Benjamin Inlet,43.166458,-79.373991
8344 Belinda Well Apt. 478,42.762376,-80.968839
6402 Reid Ford,42.074769,-80.3317
4853 Gail Shoals,43.606297,-79.997105
792 Perez Place,42.074769,-80.3317
45590 Brown Prairie,42.959716,-79.102158
19544 Roger Shore Apt. 766,42.652407,-81.90207
000 Carney Circle,42.816136,-81.618908
85583 Courtney Village Apt. 623,43.424948,-80.718568
98184 Knight Underpass,42.525659,-79.881516
