country_name,population,emmigration_rate,gdp
china,1416043270,-0.1,31294556267000.00
india,1409128296,0.1,12963980323200.00
united-states,341963408,3,25168506828800.00
indonesia,281562465,-0.7,3970030756500.00
pakistan,252363571,-1.1,1413235997600.00
nigeria,236747130,-0.2,1349458641000.00
brazil,220051512,-0.2,4092958123200.00
bangladesh,168697184,-2.9,1383316908800.00
russia,140820810,0.8,5604668238000.00
mexico,130739927,-0.7,2928574364800.00
japan,123201945,0.7,5704250053500.00
ethiopia,118550298,-0.1,331940834400.00
philippines,118277063,-0.2,1147287511100.00
congo-democratic-republic-of-the,115403027,-0.6,173104540500.00
egypt,111247248,-0.3,1891203216000.00
vietnam,105758975,-0.2,1448897957500.00
iran,88386937,-0.3,1431868379400.00
turkey-turkiye,84119531,-1.5,2893711866400.00
germany,84119100,1.8,5206972290000.00
thailand,69920998,-0.3,1475333057800.00
united-kingdom,68459055,2.9,3703634875500.00
france,68374591,1.1,3774277423200.00
tanzania,67462121,-0.4,242863635600.00
italy,60964931,3.4,3212851863700.00
south-africa,60442647,-0.2,864329852100.00
kenya,58246378,-0.2,332004354600.00
burma,57527139,-1.4,304893836700.00
korea-south,52081799,2.6,2635339029400.00
sudan,50467278,-1.6,141308378400.00
colombia,49588357,-2.1,932261111600.00
uganda,49283041,-3.1,137992514800.00
spain,47280433,4.1,2193812091200.00
algeria,47022473,-0.5,719443836900.00
argentina,46994384,-0.1,1245351176000.00
iraq,42083436,0,530251293600.00
afghanistan,40121552,-0.1,80243104000.00
canada,38794813,5.3,2164750565400.00
poland,38746310,-6.2,1708712271000.00
morocco,37387585,-1.7,329010748000.00
angola,37202061,-0.2,267854839200.00
saudi-arabia,36544431,6.7,1812603777600.00
uzbekistan,36520593,-1.1,321381218400.00
ukraine,35661826,36.5,577721581200.00
ghana,34589092,-0.2,231746916400.00
malaysia,34564810,1.5,1161377616000.00
mozambique,33350954,-1.5,50026431000.00
peru,32600249,-1,492263759900.00
yemen,32140443,-0.2,80351107500.00
venezuela,31250306,13.2,240752357424.00
nepal,31122387,-4.4,146275218900.00
cameroon,30966105,-0.3,148637304000.00
cote-divoire,29981758,1.1,209872306000.00
madagascar,29452714,0,50069613800.00
australia,26768598,5.9,1592731581000.00
niger,26342784,-0.6,42148454400.00
korea-north,26298666,0,44707732200.00
syria,23865423,-1.1,69209726700.00
taiwan,23595274,1.1,1127854097200.00
burkina-faso,23042199,-0.6,57605497500.00
mali,21990607,-2.9,54976517500.00
sri-lanka,21982608,-3,285773904000.00
malawi,21763309,0,36997625300.00
zambia,20799116,0.1,76956729200.00
kazakhstan,20260006,-0.4,719230213000.00
chad,19093595,-0.1,34368471000.00
senegal,18847519,-0.7,82929083600.00
chile,18664652,0.3,550607234000.00
ecuador,18309984,-1.1,261832771200.00
guatemala,18255216,-1.6,231841243200.00
romania,18148155,-3.3,735000277500.00
netherlands,17772378,3,1231625795400.00
zimbabwe,17150352,-3.2,60026232000.00
cambodia,17063669,-2.6,87024711900.00
benin,14697052,0.2,55848797600.00
guinea,13986179,0,55944716000.00
rwanda,13623302,-3.1,40869906000.00
burundi,13590102,-0.7,12231091800.00
somalia,13017273,-0.7,19525909500.00
south-sudan,12703714,19.1,20325942400.00
bolivia,12311974,-1,119426147800.00
tunisia,12048847,-1.3,148200818100.00
belgium,11977634,4,761777522400.00
haiti,11753943,-1.6,34086434700.00
jordan,11174024,-10.9,105035825600.00
cuba,10966038,-2.1,134882267400.00
czechia,10837890,2.7,516967353000.00
dominican-republic,10815857,-2.7,249846296700.00
azerbaijan,10650239,-0.6,226850090700.00
sweden,10589835,4,679867407000.00
greece,10461091,1.1,379737603300.00
tajikistan,10394063,-2,47812689800.00
portugal,10207177,1.5,425639280900.00
papua-new-guinea,10046233,0,42194178600.00
united-arab-emirates,10032213,-3.1,758435302800.00
hungary,9855745,2.5,400143247000.00
honduras,9529188,-1.7,61939722000.00
belarus,9501451,0.8,263190192700.00
israel,9402617,1.9,454146401100.00
sierra-leone,9121049,1.4,15505783300.00
austria,8967982,3.5,579331637200.00
togo,8917994,-1.7,24970383200.00
switzerland,8860574,5.9,734541584600.00
laos,7953556,-1,66809870400.00
paraguay,7522549,-0.1,118104019300.00
libya,7361263,-2.5,130294355100.00
hong-kong,7297821,1.6,469979672400.00
bulgaria,6782659,-0.3,225862544700.00
nicaragua,6676948,-1.8,48741720400.00
serbia,6652212,0,162979194000.00
el-salvador,6628702,-7.7,74904332600.00
eritrea,6343956,-8.7,10150329600.00
kyrgyzstan,6172101,-4.8,39501446400.00
congo-republic-of-the,6097665,-0.1,37805523000.00
singapore,6028459,4.2,768628522500.00
denmark,5973136,2.7,430065792000.00
turkmenistan,5744151,-1.7,84439019700.00
central-african-republic,5650957,-3.1,5650957000.00
finland,5626414,2.2,323518805000.00
slovakia,5563649,0.4,218651405700.00
norway,5509733,3.9,498630836500.00
liberia,5437249,-0.8,8699598400.00
lebanon,5364482,-0.9,65983128600.00
costa-rica,5265575,1.9,135851835000.00
