id,region,datecollected,youth,youngadult,middleaged,senior,incomeLevel
113026,Hamilton,2022-06-07,0.17,0.38,0.41,0.04,113651
312753,London,2021-06-05,0.1,0.27,0.46,0.17,78375
453843,Stratford,2021-06-23,0.24,0.09,0.14,0.53,105220
23087,Guelph,2021-02-13,0.23,0.04,0.41,0.32,107087
982136,Mississauga,2021-08-16,0.36,0.1,0.07,0.47,51322
760931,Stratford,2020-08-28,0.27,0.08,0.02,0.63,109288
409695,Guelph,2020-05-12,0.03,0.34,0.25,0.38,107305
647724,Kitchener,2020-10-20,0.28,0.03,0.28,0.41,81984
421635,Stratford,2021-02-04,0.39,0.39,0.15,0.07,84093
322311,Brampton,2022-07-22,0.18,0.11,0.15,0.56,67456
857308,Brampton,2020-10-24,0.15,0.12,0.23,0.5,105428
736560,Kitchener,2020-11-21,0.25,0.14,0.56,0.05,99244
671740,Toronto,2022-05-13,0.38,0.17,0.23,0.22,66175
363431,Hamilton,2022-03-20,0.33,0.3,0.17,0.2,83207
262733,Oakville,2022-08-28,0.1,0.08,0.57,0.25,93817
87317,London,2020-01-21,0.24,0.07,0.43,0.26,73989
561747,Kitchener,2021-12-25,0.07,0.09,0.55,0.29,96651
506543,Waterloo,2021-07-30,0.24,0.05,0.52,0.19,52966
612543,Stratford,2020-09-24,0.27,0.19,0.38,0.16,39106
867576,Toronto,2021-11-14,0.28,0.21,0.23,0.28,114797
411104,Mississauga,2022-03-10,0.1,0.24,0.59,0.07,38915
227247,Kitchener,2022-01-22,0.22,0.24,0.02,0.52,41199
632450,Stratford,2020-02-13,0.09,0.18,0.44,0.29,101788
288852,Brampton,2020-12-31,0.22,0.18,0.3,0.3,37621
280284,Waterloo,2021-01-14,0.06,0.33,0.13,0.48,80188
382454,Toronto,2020-03-31,0.03,0.18,0.52,0.27,47103
411938,Guelph,2022-01-20,0.08,0.16,0.12,0.64,52494
477747,London,2021-01-09,0.14,0.02,0.39,0.45,84366
251393,Guelph,2022-08-16,0.24,0.22,0.43,0.11,50248
830520,Kitchener,2022-09-16,0.11,0.16,0.55,0.18,34895
545322,Stratford,2021-11-03,0.32,0.32,0.2,0.16,94858
225328,Guelph,2021-07-23,0.17,0.02,0.33,0.48,70809
110158,Stratford,2020-06-05,0.37,0.29,0.07,0.27,67685
581306,Guelph,2021-07-06,0.16,0.12,0.6,0.12,63961
934850,Brampton,2022-07-28,0.24,0.18,0.26,0.32,116146
674239,Toronto,2022-03-13,0.27,0.01,0.31,0.41,50566
769359,Waterloo,2020-03-15,0.14,0.04,0.59,0.23,82486
208564,Guelph,2020-06-03,0.01,0.24,0.33,0.42,49196
343190,Hamilton,2020-01-22,0.02,0.12,0.17,0.69,86425
598322,Waterloo,2020-06-02,0.2,0.1,0.49,0.21,33803
186484,Kitchener,2020-03-21,0.22,0.28,0.14,0.36,46521
296473,Toronto,2020-02-03,0.13,0.14,0.35,0.38,62758
874675,Toronto,2021-03-02,0.1,0.07,0.24,0.59,46946
320143,Stratford,2020-02-24,0.09,0.36,0.38,0.17,73964
674533,Stratford,2021-01-17,0.37,0.32,0.08,0.23,73046
634564,Guelph,2022-02-21,0.13,0.3,0.25,0.32,42677
464855,Guelph,2020-06-05,0.13,0.15,0.57,0.15,74702
374712,Waterloo,2021-03-13,0.38,0.08,0.27,0.27,78550
927699,Stratford,2021-03-05,0.38,0.3,0.29,0.03,37670
904750,Stratford,2021-09-08,0.1,0.25,0.39,0.26,41558
490957,Brampton,2022-05-28,0.28,0.27,0.28,0.17,34615
4952,Hamilton,2020-10-19,0.06,0.01,0.28,0.65,65363
984954,London,2020-09-23,0.04,0.02,0.24,0.7,89980
856986,Waterloo,2020-05-15,0.22,0.35,0.01,0.42,113459
195567,Waterloo,2020-05-23,0.12,0.35,0.36,0.17,30703
744276,Waterloo,2020-04-26,0.08,0.3,0.52,0.1,42770
964926,Waterloo,2021-02-19,0.23,0.39,0.17,0.21,32714
28673,Toronto,2020-01-25,0.29,0.15,0.31,0.25,76632
580633,London,2021-09-09,0.17,0.15,0.56,0.12,81844
650778,Kitchener,2020-05-02,0.37,0.38,0.07,0.18,78804
433524,Brampton,2022-03-18,0.14,0.18,0.48,0.2,85619
393987,London,2021-07-08,0.37,0.02,0.26,0.35,61786
399533,Stratford,2020-08-22,0.32,0.39,0.09,0.2,38356
216728,Hamilton,2020-03-07,0.03,0.11,0.53,0.33,104969
89233,Toronto,2021-08-20,0.35,0.19,0.2,0.26,78754
354884,Toronto,2021-10-09,0.19,0.04,0.55,0.22,79987
501339,London,2021-03-03,0.19,0.18,0.36,0.27,37195
560557,Brampton,2020-02-23,0.27,0.33,0.15,0.25,90624
364630,Kitchener,2021-04-05,0.39,0.33,0,0.28,61079
304737,Kitchener,2020-11-11,0.02,0.29,0.45,0.24,56407
704694,Oakville,2021-05-31,0.32,0.28,0.09,0.31,108065
719400,Kitchener,2022-05-04,0.36,0.38,0.04,0.22,65489
240767,Waterloo,2021-07-08,0.13,0.4,0.16,0.31,97653
685867,Brampton,2022-04-24,0.24,0.25,0.43,0.08,102793
855544,Oakville,2020-11-27,0.19,0.21,0.55,0.05,65928
500859,Mississauga,2021-06-08,0.05,0.11,0.4,0.44,113129
687877,Brampton,2021-10-12,0.23,0.05,0.25,0.47,111666
356048,Mississauga,2022-01-04,0.17,0.14,0.2,0.49,115378
728150,Waterloo,2021-03-14,0.22,0.03,0.39,0.36,83288
42700,Stratford,2021-11-19,0.24,0.11,0.03,0.62,52827
726976,Waterloo,2020-11-30,0.39,0.12,0.15,0.34,43314
975651,Kitchener,2022-07-12,0.2,0.15,0.3,0.35,36279
651110,Stratford,2020-03-07,0.02,0.38,0.47,0.13,80323
878616,Brampton,2022-05-31,0.06,0.26,0.51,0.17,40381
698913,Oakville,2022-02-04,0.19,0.23,0.07,0.51,69505
191675,Hamilton,2020-07-02,0.17,0.13,0.3,0.4,105198
799751,Kitchener,2021-03-15,0.26,0.05,0.17,0.52,95084
336517,Waterloo,2021-09-21,0.06,0.2,0.37,0.37,66346
302144,Oakville,2022-06-04,0.3,0.22,0.27,0.21,64954
306425,Toronto,2021-04-10,0.16,0.3,0.03,0.51,106960
162039,Stratford,2020-06-15,0.26,0.36,0.38,0,58919
547528,Hamilton,2020-10-28,0.05,0.25,0.14,0.56,71159
328394,Kitchener,2022-06-18,0.23,0.03,0.59,0.15,98041
565711,Kitchener,2020-08-10,0.13,0.15,0.05,0.67,43578
