userid,food
U640621448,Ceviche
U570328914,Tamales
U640621448,Nasi Goreng
U413622950,Goulash
U373633828,Ratatouille
U719547209,Pozole
U856551731,Harira
U720941051,Cornbread
U654833775,Tabbouleh
U694195181,Arepas
U570328914,Salad
U640621448,Salad
U373633828,Gnocchi
U183942414,Cornbread
U640621448,Vindaloo
U178446697,Laksa
U834545224,Curry
U579362622,Haggis
U600077683,Pasta
U492400767,Borscht
U492400767,Tempura
U834545224,Lasagna
U465447843,Miso Soup
U579362622,Spring Rolls
U492400767,Clam Chowder
U570328914,Cornbread
U413622950,Hummus
U667424015,Lamb Roast
U906475394,Poke Bowl
U373633828,Laksa
U367822255,Nasi Goreng
U671115601,Haggis
U671115601,Jambalaya
U446549091,Ratatouille
U413622950,Risotto
U818535007,Moussaka
U671115601,Satay
U367822255,Laksa
U492400767,Fettuccine Alfredo
U818535007,Borscht
U654833775,Ratatouille
U906475394,Goulash
U786917100,Omelette
U701638904,Coleslaw
U570328914,Samosa
U671115601,Shakshuka
U211488868,Lamb Roast
U671115601,Salad
U818535007,Bratwurst
U786917100,Plantains
