id,location_lat,location_long,datecollected,foot_traffic,realestate_bracket
997412,42.378597,-80.848284,2020-09-12,3342,295533
87835,42.681621,-79.577835,2021-02-13,5356,626450
227155,42.684534,-81.702607,2022-03-30,4759,701842
965387,42.52622,-80.733885,2020-12-25,2454,819830
966173,43.424948,-80.718568,2021-08-26,7797,646730
486164,42.696686,-81.761628,2020-09-16,3580,160900
462301,42.780416,-79.083087,2020-04-21,2207,797631
966529,42.780416,-79.083087,2020-01-23,8359,620503
370270,43.082667,-79.441943,2020-01-22,7116,262008
773336,42.922154,-80.401099,2022-07-12,8407,247677
466289,43.71033,-80.210179,2020-08-23,8396,495023
504281,43.71033,-80.210179,2021-08-05,9043,692241
704575,42.969899,-79.359725,2022-04-08,7308,447469
348261,43.801198,-79.230558,2021-01-27,4610,647999
891314,42.684534,-81.702607,2020-12-07,5944,215685
601781,43.234456,-80.914763,2022-09-12,6131,428272
592251,42.30092,-79.659085,2020-02-07,7532,164448
356238,43.589186,-80.147774,2020-03-19,1460,520933
250832,42.922154,-80.401099,2020-01-26,1966,332430
821503,42.922154,-80.401099,2021-04-02,3625,743564
368823,43.342934,-81.936887,2021-08-12,9487,952670
871882,42.572854,-81.183293,2020-02-19,4007,489214
545522,42.074769,-80.3317,2021-07-31,8779,757546
436405,42.52622,-80.733885,2021-03-20,8631,595369
720337,43.082667,-79.441943,2021-05-30,7581,368317
911255,43.166458,-79.373991,2022-01-01,3849,318245
806333,43.755717,-81.353865,2021-01-17,3879,263584
712229,42.684534,-81.702607,2020-03-31,5346,374370
348944,42.178051,-81.253546,2020-05-23,1256,630375
488407,42.634322,-79.433891,2022-05-18,8625,205223
416490,42.634322,-79.433891,2021-12-10,1715,470536
764709,43.801198,-79.230558,2020-05-10,2198,933953
502394,43.903584,-79.778909,2021-10-10,7665,706462
60684,42.684534,-81.702607,2021-12-05,2646,993789
554431,43.424948,-80.718568,2022-03-04,6049,362686
765457,42.92488,-81.201384,2021-06-05,1314,941095
423995,42.7965,-79.184964,2020-09-29,7529,838048
32797,42.696686,-81.761628,2021-09-30,4722,473627
497896,42.868551,-81.819438,2020-05-19,2914,783624
73617,42.792292,-79.068859,2021-03-12,566,488186
685072,42.719299,-81.811015,2020-12-04,9166,659642
434135,42.88503,-80.725574,2022-04-17,819,196210
843372,42.681621,-79.577835,2021-05-09,37,713750
501495,42.816136,-81.618908,2020-12-17,9788,413515
344015,43.166458,-79.373991,2021-12-24,6929,942898
929043,43.606297,-79.997105,2021-07-06,7020,492882
721149,42.30092,-79.659085,2020-12-19,1041,566257
518256,42.550438,-79.706379,2021-03-19,7014,702571
832232,42.92488,-81.201384,2020-03-30,6391,925407
455174,42.959716,-79.102158,2021-09-05,4023,885930
956498,42.868551,-81.819438,2021-08-16,980,291564
50377,43.424948,-80.718568,2021-01-13,4469,650235
175965,42.92488,-81.201384,2020-05-24,1581,901489
293596,42.719299,-81.811015,2021-11-12,6967,492663
704113,42.652407,-81.90207,2022-01-25,8617,598927
891179,42.792292,-79.068859,2020-10-31,7648,819605
713566,43.342934,-81.936887,2022-02-28,3323,945174
548761,42.652407,-81.90207,2021-10-03,2301,180561
151745,42.792292,-79.068859,2022-09-14,3461,841939
318184,42.178051,-81.253546,2022-07-24,9766,678068
27244,42.52622,-80.733885,2021-12-25,635,997226
768871,42.780416,-79.083087,2022-01-05,1445,896778
