restaurant,restaurant_address,food,food_origin
Chipotle,22777 Rush Key,Tortilla,ecuador
Shake Shack,20131 Bradley Ways,Omelette,benin
Dunkin',6561 James Junctions Suite 693,Steak,lithuania
Shake Shack,517 Gonzalez Orchard,Hotdog,fiji
IHOP,764 Moyer Groves,Gnocchi,austria
Applebee's,5698 Joel Trail Apt. 253,Miso Soup,china
Domino's,039 Johnson Bypass Apt. 537,Satay,bolivia
Cracker Barrel,6038 Luis Parkways,Pasta,northern-mariana-islands
Five Guys,207 Beth Alley,Bento Box,mexico
Arby's,745 Dana River Suite 513,Quiche,solomon-islands
Sonic Drive-In,4859 Isaac Squares,Poke Bowl,china
Panera Bread,2894 Kenneth Roads,Baguette,italy
IHOP,916 West Mountain Apt. 223,Burger,costa-rica
Dunkin',81082 Albert Manors Apt. 771,Miso Soup,zambia
Cracker Barrel,9072 Sherman Loop,Borscht,cyprus
Burger King,30407 Johnson Road Suite 780,Spring Rolls,hungary
Wendy's,007 Tiffany Haven Suite 378,Salad,mozambique
Shake Shack,26939 Mathews Throughway Suite 744,Churros,latvia
Starbucks,42875 Green Rapid,Arepas,vietnam
Subway,85583 Courtney Village Apt. 623,Coleslaw,senegal
Taco Bell,1870 Jennifer Village Suite 635,Banoffee Pie,uruguay
IHOP,042 Donald Circles Apt. 738,Jollof Rice,new-zealand
Dunkin',31396 Lauren Lodge,Quiche,el-salvador
Red Lobster,66057 Bradford Ramp,Arepas,vanuatu
Tim Hortons,532 Pugh Wells,Gnocchi,uzbekistan
Pizza Hut,2845 Miller Harbors Suite 164,Kimchi,dominican-republic
Tim Hortons,5112 Campbell Mount,Jambalaya,czechia
Dunkin',5112 Campbell Mount,Pho,antigua-and-barbuda
Subway,358 Dodson Passage,Bento Box,burundi
Panera Bread,447 Alyssa Radial Apt. 946,Churros,korea-south
Popeyes,161 Berry Falls Suite 287,Harira,poland
Subway,2450 Lozano Spring,Lasagna,oman
Chipotle,5887 Javier Fort Apt. 356,Poke Bowl,lithuania
Domino's,670 Vanessa Cape,Curry,antigua-and-barbuda
Pizza Hut,209 Erika Land,Tortilla,albania
Subway,3258 Chase Motorway Apt. 151,Arepas,kuwait
Little Caesars,849 Barrera Villages,Haggis,cote-divoire
Pizza Hut,161 Berry Falls Suite 287,Poke Bowl,lithuania
Tim Hortons,726 Michael Via Suite 090,Macarons,equatorial-guinea
Outback Steakhouse,991 Deborah Crescent,Curry,guernsey
Panera Bread,6685 Farley Locks,Curry,lebanon
KFC,8984 Moore Junctions Apt. 841,Gelato,kazakhstan
Pizza Hut,567 Dean Ways Apt. 733,Croissant,vietnam
Red Lobster,278 Price Rest,Arepas,vanuatu
Wendy's,3347 White Street,Quiche,croatia
McDonald's,456 Carrie Dale Apt. 861,Salad,somalia
Subway,55401 Stanley Plaza Suite 740,Udon,malta
Tim Hortons,00983 Pamela Springs,Poke Bowl,lithuania
Sonic Drive-In,616 Yvette Islands,Harira,poland
Outback Steakhouse,51773 Holmes Fords Apt. 149,Quiche,aruba
Sonic Drive-In,757 Valerie Shores,Risotto,malaysia
Shake Shack,00983 Pamela Springs,Miso Soup,malta
Dunkin',677 Carolyn Way,Kimchi,nigeria
Cheesecake Factory,226 Patel Ridge Suite 602,Plantains,india
Cracker Barrel,5314 Mcdonald Throughway,Miso Soup,congo-democratic-republic-of-the
Popeyes,45590 Brown Prairie,Lamb Roast,turkey-turkiye
Tim Hortons,61988 Tony Isle,Tacos,malta
Subway,2163 Sarah Inlet Suite 927,Baguette,armenia
Pizza Hut,0549 Susan Fields Suite 973,Bento Box,spain
Cheesecake Factory,6469 Crystal Crossroad,Bao,bahamas-the
Starbucks,186 Debra Village Suite 696,Bento Box,spain
KFC,300 Lloyd Causeway,Falafel,moldova
Shake Shack,2894 Kenneth Roads,Pizza,iran
IHOP,471 Holloway Road,Fettuccine Alfredo,aruba
Little Caesars,3461 Samuel Wells Apt. 182,Biryani,virgin-islands
Taco Bell,553 Anderson Ridge Apt. 584,Pierogi,hong-kong
Chipotle,2265 Christopher Crescent Suite 466,Tortilla,albania
Cracker Barrel,8162 Carroll Shoals,Plantains,iran
Outback Steakhouse,3716 Weiss Mill Apt. 724,Baguette,brunei
Popeyes,738 Garner Bypass,Borscht,china
Cracker Barrel,546 Clark Mall,Spring Rolls,hungary
Outback Steakhouse,491 Jennifer Parkway,Roti,papua-new-guinea
Little Caesars,62001 Mallory Extension,Samosa,trinidad-and-tobago
Popeyes,213 Brandon Extensions Suite 945,Steamed Buns,australia
Applebee's,720 Wells Street,Fish and Chips,poland
Sonic Drive-In,0140 Smith Heights Suite 124,Pasta,switzerland
Shake Shack,60267 Howard Street Suite 857,Samosa,united-states
McDonald's,5795 Danielle Ways,Crepes,sierra-leone
Panera Bread,52323 Mercer Skyway Apt. 291,Arepas,djibouti
Chick-fil-A,2450 Lozano Spring,Plantains,india
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Bento Box,spain
Chili's,98926 Baker Roads,Samosa,cameroon
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Roti,congo-republic-of-the
Arby's,44067 Thompson Crescent,Harira,tonga
Shake Shack,62001 Mallory Extension,Clam Chowder,malawi
Popeyes,457 Bobby Lights Suite 545,Risotto,romania
Cheesecake Factory,30538 Carrie Pike Apt. 628,Tacos,malta
Outback Steakhouse,792 Perez Place,Falafel,bosnia-and-herzegovina
McDonald's,82905 Douglas Plains Suite 291,Cornbread,china
Starbucks,198 Dana Junctions,Risotto,madagascar
Olive Garden,58655 Warner Divide Suite 874,Clam Chowder,malawi
Panera Bread,726 Michael Via Suite 090,Gnocchi,new-caledonia
TGI Friday's,943 Williams Flat Apt. 054,Jambalaya,yemen
TGI Friday's,38536 Richardson Green,Bratwurst,slovenia
KFC,8481 Foster Drive,Cheesecake,china
Taco Bell,546 Clark Mall,Falafel,united-states
Sonic Drive-In,61988 Tony Isle,Shawarma,nepal
Starbucks,19362 Payne Causeway Suite 534,Bao,bahamas-the
TGI Friday's,18669 Jackson Mount Suite 376,Churros,korea-south
Ruby Tuesday,55401 Stanley Plaza Suite 740,Lamb Roast,turkey-turkiye
Little Caesars,54047 Eric Station Apt. 446,Harira,tonga
Tim Hortons,20131 Bradley Ways,Curry,lebanon
Cracker Barrel,3258 Chase Motorway Apt. 151,Crepes,thailand
Popeyes,92252 Diane Flat,Haggis,slovakia
Little Caesars,2225 Gibson Islands Apt. 616,Jambalaya,yemen
Little Caesars,664 Austin Extension,Gelato,vanuatu
Five Guys,62545 Alexis Underpass Apt. 452,Jambalaya,czechia
Starbucks,0324 Claudia Tunnel Apt. 292,Samosa,cameroon
Chili's,447 Alyssa Radial Apt. 946,Bratwurst,rwanda
Arby's,590 Bernard Creek Apt. 744,Hotdog,puerto-rico
Buffalo Wild Wings,88469 Margaret Shore,Lamb Roast,burkina-faso
Red Lobster,1870 Jennifer Village Suite 635,Baguette,congo-democratic-republic-of-the
Olive Garden,322 Medina River,Tacos,eritrea
Starbucks,78936 Lopez Freeway Apt. 599,Hummus,curacao
Pizza Hut,3600 Tamara Circle Apt. 910,Ratatouille,chad
Sonic Drive-In,96285 Morrison Dam,Kimchi,nigeria
McDonald's,006 Scott Mountain Suite 766,Banoffee Pie,montenegro
Pizza Hut,0324 Claudia Tunnel Apt. 292,Borscht,sweden
Ruby Tuesday,477 Smith Meadow Apt. 029,Harira,tonga
Cheesecake Factory,12848 Navarro Turnpike Suite 366,Sticky Rice,syria
KFC,477 Smith Meadow Apt. 029,Bratwurst,rwanda
Texas Roadhouse,38536 Richardson Green,Fish and Chips,poland
Pizza Hut,52323 Mercer Skyway Apt. 291,Tamales,samoa
Red Lobster,18825 Powers Trail,Fried Chicken,zambia
Red Lobster,3600 Tamara Circle Apt. 910,Tamales,costa-rica
Olive Garden,42875 Green Rapid,Nasi Goreng,jamaica
Olive Garden,9526 Jones Lodge Apt. 826,Meatballs,panama
Panera Bread,34980 Jones Inlet Apt. 469,Coleslaw,senegal
Chili's,849 Barrera Villages,Curry,guernsey
Panera Bread,442 Reynolds Expressway,Arepas,djibouti
Olive Garden,6402 Reid Ford,Fish and Chips,new-zealand
Cheesecake Factory,248 Aaron Wall Suite 624,Poke Bowl,china
Red Lobster,1813 Garrett Mill,Pozole,mauritania
Cheesecake Factory,78936 Lopez Freeway Apt. 599,Gumbo,isle-of-man
Tim Hortons,5113 Webb Springs,Pad Thai,gambia-the
Red Lobster,9968 Estes Inlet Suite 797,Tempura,barbados
Subway,24104 Melissa Village,Burger,malawi
Starbucks,44769 Alexander Meadow Apt. 850,Gumbo,faroe-islands
Little Caesars,73551 Lopez Loaf,Harira,puerto-rico
Starbucks,41292 Conway Cape,Fish and Chips,eswatini
Chipotle,322 Medina River,French Fries,lithuania
Chipotle,254 Natalie Harbor,Harira,poland
Chili's,34229 Earl Squares Apt. 712,Barbecue Ribs,central-african-republic
Texas Roadhouse,685 Tom Divide Apt. 622,Roti,papua-new-guinea
Pizza Hut,685 Tom Divide Apt. 622,Macarons,equatorial-guinea
Cracker Barrel,991 Deborah Crescent,Miso Soup,iran
Cracker Barrel,389 Michael Drive Suite 565,Pierogi,united-kingdom
Subway,567 Dean Ways Apt. 733,Lasagna,germany
McDonald's,0500 Riley Wells,Spring Rolls,tajikistan
Five Guys,5698 Joel Trail Apt. 253,Pasta,switzerland
McDonald's,19362 Payne Causeway Suite 534,Harira,canada
Burger King,8897 Castaneda Way Apt. 829,Coleslaw,costa-rica
Cracker Barrel,19507 Melissa Street,Bento Box,spain
IHOP,18825 Powers Trail,Hummus,solomon-islands
Domino's,597 Matthews Dam Apt. 675,Carrot Cake,egypt
Chili's,207 Beth Alley,Gumbo,chad
Arby's,006 Scott Mountain Suite 766,Miso Soup,ireland
McDonald's,30025 Cynthia Bypass Apt. 688,Churros,turkmenistan
Chipotle,5073 Scott Groves Suite 909,Samosa,trinidad-and-tobago
Cracker Barrel,150 Tina Shoals Apt. 638,Udon,malta
Chili's,44769 Alexander Meadow Apt. 850,Tempura,seychelles
Applebee's,2163 Sarah Inlet Suite 927,Carrot Cake,sri-lanka
Subway,66337 Julie Cape Apt. 093,Shawarma,nepal
Texas Roadhouse,0549 Susan Fields Suite 973,Fried Chicken,bermuda
Chick-fil-A,556 Kaylee Fords,Satay,haiti
Pizza Hut,6469 Crystal Crossroad,Meatballs,pakistan
Ruby Tuesday,190 Courtney Brook,Satay,bolivia
Domino's,082 Corey Coves,Arepas,saint-kitts-and-nevis
IHOP,345 Poole Prairie Suite 418,Plantains,iran
Olive Garden,213 Brandon Extensions Suite 945,Barbecue Ribs,iraq
Chipotle,664 Austin Extension,Pho,antigua-and-barbuda
Popeyes,9058 Jonathan Via,Hotdog,fiji
KFC,1673 Townsend Turnpike,Meatballs,bermuda
TGI Friday's,66057 Bradford Ramp,Chow Mein,greenland
Starbucks,000 Carney Circle,Fish and Chips,mauritania
Cheesecake Factory,20611 Wheeler Pine,Cheesecake,colombia
Sonic Drive-In,5073 Scott Groves Suite 909,Clam Chowder,malawi
Panera Bread,92252 Diane Flat,Arepas,djibouti
Subway,2314 Anderson Coves Suite 102,Arepas,kuwait
Arby's,970 Smith Wells Suite 905,Roti,papua-new-guinea
Arby's,8840 Grant Valley Suite 846,Shakshuka,virgin-islands
Red Lobster,598 Thomas Springs,Baguette,congo-democratic-republic-of-the
Domino's,456 Carrie Dale Apt. 861,Baguette,italy
Chick-fil-A,553 Anderson Ridge Apt. 584,Ratatouille,guam
Taco Bell,74304 Kevin Trail,Omelette,cabo-verde
TGI Friday's,254 Natalie Harbor,Plantains,india
Dunkin',98184 Knight Underpass,Samosa,trinidad-and-tobago
Applebee's,6038 Luis Parkways,Arepas,kazakhstan
Chipotle,0976 Conway Route Apt. 897,Nasi Goreng,sudan
Starbucks,3461 Samuel Wells Apt. 182,Salad,somalia
Tim Hortons,150 Tina Shoals Apt. 638,Tabbouleh,antigua-and-barbuda
Shake Shack,1247 Grace Islands Apt. 246,Bento Box,costa-rica
Red Lobster,10865 Michael Ranch Suite 245,Ratatouille,chad
TGI Friday's,31396 Lauren Lodge,Plantains,india
Ruby Tuesday,2314 Anderson Coves Suite 102,Sticky Rice,pakistan
Arby's,85583 Courtney Village Apt. 623,Dolma,qatar
Five Guys,007 Tiffany Haven Suite 378,Laksa,russia
KFC,47568 Megan Village Apt. 490,Jambalaya,gabon
Texas Roadhouse,9072 Sherman Loop,Tempura,cayman-islands
Sonic Drive-In,1247 Grace Islands Apt. 246,Udon,malta
Outback Steakhouse,26939 Mathews Throughway Suite 744,Roti,papua-new-guinea
Five Guys,920 Ashley Club,Steak,russia
Five Guys,720 Wells Street,Quiche,guinea-bissau
Domino's,251 Barnett Parks,Harira,puerto-rico
KFC,939 Smith Centers,Risotto,bhutan
Olive Garden,4876 Williams Harbor Apt. 516,Kimchi,dominican-republic
Chipotle,8984 Moore Junctions Apt. 841,Samosa,cameroon
McDonald's,925 Ramirez Road,Hummus,botswana
Dunkin',24104 Melissa Village,Carrot Cake,egypt
Taco Bell,98184 Knight Underpass,Pho,portugal
Panera Bread,08186 Briggs Path Apt. 893,Roti,congo-republic-of-the
KFC,44067 Thompson Crescent,Pancakes,ireland
Chili's,8481 Foster Drive,Barbecue Ribs,central-african-republic
Panera Bread,30025 Cynthia Bypass Apt. 688,Gumbo,isle-of-man
Texas Roadhouse,82905 Douglas Plains Suite 291,Banoffee Pie,uruguay
Chili's,0768 Hector Trace,Meatballs,pakistan
Applebee's,389 Michael Drive Suite 565,Tortilla,albania
Five Guys,15565 Jacobs Crest,Pozole,mauritania
Wendy's,0976 Conway Route Apt. 897,Bratwurst,morocco
Chick-fil-A,8877 Singleton Greens,Pozole,malaysia
Red Lobster,53104 Lambert Field Suite 907,Biryani,niger
Arby's,47622 Lauren Way,Fettuccine Alfredo,aruba
Wendy's,97711 Leblanc Plains Apt. 306,Risotto,romania
Olive Garden,455 Stephens Landing,Bratwurst,rwanda
Dunkin',8840 Grant Valley Suite 846,Bao,saint-kitts-and-nevis
Domino's,616 Yvette Islands,Falafel,united-states
IHOP,6402 Reid Ford,Gumbo,faroe-islands
Chipotle,74829 Clarke Park,Jambalaya,cayman-islands
Popeyes,6409 Johnson Plaza Suite 999,Dolma,qatar
Little Caesars,2845 Miller Harbors Suite 164,Plantains,iran
Popeyes,480 Matthew Ville Suite 854,Tempura,cayman-islands
Taco Bell,288 Benjamin Inlet,Tortilla,albania
Domino's,000 Carney Circle,Laksa,saint-vincent-and-the-grenadines
Wendy's,9465 Karen Estates Apt. 314,Tempura,cayman-islands
Wendy's,0768 Hector Trace,Coleslaw,senegal
Shake Shack,757 Valerie Shores,French Fries,cabo-verde
Sonic Drive-In,08186 Briggs Path Apt. 893,Meatballs,pakistan
